HR/EN/0992,11/30/2020 20:18:53
HR/EN/1746,11/30/2020 19:57:02
HR/EN/1746,11/30/2020 19:56:47
41,11/30/2020 19:55:03
41,11/30/2020 19:55:01
HR/EN/1134,11/30/2020 19:43:44
HR/EN/1099,11/30/2020 19:33:52
HR/EN/1099,11/30/2020 19:33:45
HR/EN/0269,11/30/2020 19:33:16
HR/EN/0269,11/30/2020 19:33:09
HR/EN/1308,11/30/2020 19:33:00
HR/EN/1308,11/30/2020 19:32:56
HR/EN/1309,11/30/2020 19:32:49
HR/EN/1309,11/30/2020 19:32:44
HR/EN/1311,11/30/2020 19:32:30
HR/EN/1311,11/30/2020 19:32:25
HR/EN/0085,11/30/2020 19:32:14
HR/EN/0085,11/30/2020 19:32:06
HR/EN/1310,11/30/2020 19:31:54
HR/EN/1310,11/30/2020 19:31:48
HR/EN/0877,11/30/2020 19:31:32
HR/EN/0877,11/30/2020 19:31:28
HR/EN/1553,11/30/2020 19:31:16
HR/EN/1553,11/30/2020 19:31:10
HR/EN/1083,11/30/2020 19:30:28
HR/EN/1083,11/30/2020 19:30:23
HR/EN/1147,11/30/2020 19:30:16
HR/EN/1147,11/30/2020 19:30:12
HR/EN/0672,11/30/2020 19:28:20
HR/EN/0672,11/30/2020 19:28:16
HR/EN/1482,11/30/2020 19:22:42
HR/EN/1482,11/30/2020 19:22:35
HR/EN/0741,11/30/2020 19:22:01
HR/EN/0741,11/30/2020 19:21:56
HR/EN/1312,11/30/2020 19:18:43
HR/EN/1312,11/30/2020 19:18:39
HR/EN/1484,11/30/2020 19:18:29
HR/EN/1484,11/30/2020 19:18:20
HR/EN/0078,11/30/2020 19:11:09
HR/EN/0245,11/30/2020 19:06:11
HR/EN/0245,11/30/2020 19:06:06
HR/EN/1444,11/30/2020 19:05:58
HR/EN/1444,11/30/2020 19:05:49
HR/EN/1681,11/30/2020 19:05:40
HR/EN/1681,11/30/2020 19:05:36
HR/EN/0157,11/30/2020 19:05:24
HR/EN/1421,11/30/2020 18:51:19
7000,11/30/2020 18:51:09
HR/EN/1161,11/30/2020 18:44:46
HR/EN/1161,11/30/2020 18:44:41
HR/EN/1161,11/30/2020 18:44:33
7004,11/30/2020 18:30:39
7004,11/30/2020 18:30:34
HR/EN/5037,11/30/2020 18:28:34
HR/EN/5037,11/30/2020 18:28:30
HR/EN/5037,11/30/2020 18:28:26
HR/EN/5037,11/30/2020 18:28:20
HR/EN/0001,11/30/2020 18:25:59
HR/EN/0001,11/30/2020 18:25:55
HR/EN/0001,11/30/2020 18:25:48
HR/EN/1754,11/30/2020 18:23:12
HR/EN/1754,11/30/2020 18:23:06
HR/EN/0018,11/30/2020 18:22:47
HR/EN/0018,11/30/2020 18:22:42
HR/EN/1687,11/30/2020 18:22:35
HR/EN/1687,11/30/2020 18:22:30
HR/EN/1581,11/30/2020 18:20:23
HR/EN/0999,11/30/2020 18:18:06
HR/EN/0999,11/30/2020 18:18:00
HR/EN/1421,11/30/2020 18:15:29
HR/EN/1421,11/30/2020 18:15:26
HR/EN/1582,11/30/2020 18:12:20
HR/EN/0089,11/30/2020 18:10:10
HR/EN/1148,11/30/2020 18:09:53
HR/EN/1148,11/30/2020 18:09:35
HR/EN/1148,11/30/2020 18:08:37
HR/EN/1546,11/30/2020 18:07:25
HR/EN/1546,11/30/2020 18:07:21
HR/EN/0471,11/30/2020 18:03:30
HR/EN/0471,11/30/2020 18:03:24
HR/EN/1522,11/30/2020 18:02:37
HR/EN/1662,11/30/2020 18:02:24
HR/EN/1662,11/30/2020 18:02:20
HR/EN/1135,11/30/2020 18:01:26
HR/EN/1135,11/30/2020 18:01:24
HR/EN/0505,11/30/2020 18:01:14
HR/EN/0131,11/30/2020 18:00:59
HR/EN/0131,11/30/2020 18:00:50
HR/EN/0033,11/30/2020 18:00:41
HR/EN/0033,11/30/2020 18:00:36
HR/EN/1414,11/30/2020 18:00:25
HR/EN/1414,11/30/2020 18:00:19
HR/EN/1677,11/30/2020 18:00:13
HR/EN/1677,11/30/2020 18:00:09
HR/EN/1552,11/30/2020 17:59:56
HR/EN/1652,11/30/2020 17:42:01
HR/EN/1652,11/30/2020 17:41:59
HR/EN/1397,11/30/2020 17:37:18
HR/EN/1397,11/30/2020 17:37:13
HR/EN/0130,11/30/2020 17:36:27
HR/EN/0130,11/30/2020 17:36:22
HR/EN/1744,11/30/2020 17:30:08
HR/EN/1745,11/30/2020 17:29:40
HR/EN/1745,11/30/2020 17:29:33
HR/EN/0105,11/30/2020 17:28:34
HR/EN/0105,11/30/2020 17:28:09
HR/EN/0105,11/30/2020 17:28:07
HR/EN/0105,11/30/2020 17:28:05
HR/EN/0105,11/30/2020 17:27:53
HR/EN/1535,11/30/2020 17:19:11
HR/EN/1535,11/30/2020 17:19:06
